Year,Month,COVID-19 Deaths,Pneumonia Deaths,Total Deaths
2020.0,1.0,6.0,17909.0,264677.0
2020.0,2.0,25.0,15740.0,244951.0
2020.0,3.0,7173.0,22478.0,269807.0
2020.0,4.0,65546.0,46426.0,322414.0
2020.0,5.0,38328.0,29009.0,280562.0
2020.0,6.0,18025.0,19293.0,250441.0
2020.0,7.0,31135.0,27121.0,279008.0
2020.0,8.0,29911.0,27356.0,277288.0
2020.0,9.0,19158.0,21130.0,257191.0
2020.0,10.0,24929.0,24327.0,273912.0
2020.0,11.0,53247.0,38294.0,302585.0
2020.0,12.0,98172.0,62907.0,367203.0
2021.0,1.0,105515.0,69843.0,373581.0
2021.0,2.0,48529.0,38076.0,282514.0
2021.0,3.0,23238.0,24602.0,271006.0
2021.0,4.0,18771.0,21283.0,257031.0
2021.0,5.0,14968.0,19450.0,258278.0
2021.0,6.0,8013.0,15615.0,245173.0
2021.0,7.0,11210.0,18247.0,257804.0
2021.0,8.0,48752.0,41850.0,303868.0
2021.0,9.0,63344.0,51001.0,312259.0
2021.0,10.0,42506.0,38571.0,299888.0
2021.0,11.0,32227.0,31893.0,288659.0
2021.0,12.0,45342.0,40992.0,319134.0
2022.0,1.0,82102.0,57784.0,364140.0
2022.0,2.0,48755.0,37440.0,284795.0
2022.0,3.0,14428.0,18295.0,250464.0
2022.0,4.0,3323.0,7271.0,137955.0
